F,Ohms
1,467604
3,462623.2258
5,457642.4516
7,452661.6774
9,447680.9032
11,442700.129
13,437719.3548
15,432738.5806
17,427757.8065
19,422777.0323
21,417796.2581
23,412815.4839
25,407834.7097
27,402853.9355
29,397873.1613
31,392892.3871
33,387911.6129
35,382930.8387
37,377950.0645
39,372969.2903
41,367988.5161
43,363007.7419
45,358026.9677
47,353046.1935
49,348065.4194
51,343084.6452
53,338103.871
55,333123.0968
57,328142.3226
59,323161.5484
61,318180.7742
63,313200
65,308219.2258
67,303238.4516
69,298257.6774
71,293276.9032
73,288296.129
75,283315.3548
77,278334.5806
79,273353.8065
81,268373.0323
83,263392.2581
85,258411.4839
87,253430.7097
89,248449.9355
91,243469.1613
93,238488.3871
95,233507.6129
97,228526.8387
99,223546.0645
101,218565.2903
103,213584.5161
105,208603.7419
107,203622.9677
109,198642.1935
111,193661.4194
113,188680.6452
115,183699.871
117,178719.0968
119,173738.3226
121,168757.5484
123,163776.7742
125,158796
127,153815.2258
129,148834.4516
131,143853.6774
133,138872.9032
135,133892.129
137,128911.3548
139,123930.5806
141,118949.8065
143,113969.0323
145,108988.2581
147,104007.4839
149,99026.70968
151,94045.93548
153,89065.16129
155,84084.3871
157,79103.6129
159,74122.83871
161,69142.06452
163,64161.29032
165,59180.51613
167,54199.74194
169,49218.96774
171,44238.19355
173,39257.41935
175,34276.64516
177,29295.87097
179,24315.09677
181,19334.32258
183,14353.54839
185,9372.774194
187,4392
